CVaR,CVaR.se,p,q,rho,type,Type,Correlation
-0.008130126702844399,0.00453063843871667,0.85,0.07856220749388299,1,Thm. 3.4 bound,Thm. 3.4,1
-0.3253812446599161,0.0015799559762405292,0.86,0.8817012118936347,-1,Thm. 3.4 bound,Thm. 3.4,-1
-0.2801854840947769,0.0013893267978058142,0.86,0.7665679115327002,-0.5,Thm. 3.4 bound,Thm. 3.4,-0.5
-0.2266328485107141,0.001175199385544125,0.86,0.630265533055282,0,Thm. 3.4 bound,Thm. 3.4,0
-0.15703278213041608,9.397889083395227e-4,0.86,0.45354761310647707,0.5,Thm. 3.4 bound,Thm. 3.4,0.5
-0.06549722339627512,9.69728793582408e-4,0.86,0.2235286465416321,0.9,Thm. 3.4 bound,Thm. 3.4,0.9
-0.044778284664665415,0.0012283274124998906,0.86,0.17270394149582888,0.95,Thm. 3.4 bound,Thm. 3.4,0.95
-0.00784965530135574,0.00441050847326511,0.86,0.08102688515920067,1,Thm. 3.4 bound,Thm. 3.4,1
-0.31117855130809297,0.001515087503933358,0.87,0.9345618313660127,-1,Thm. 3.4 bound,Thm. 3.4,-1
-0.2678620877104363,0.0013328033620681053,0.87,0.812323991980468,-0.5,Thm. 3.4 bound,Thm. 3.4,-0.5
-0.21653275493707602,0.00112791462295336,0.87,0.6676424016255048,0,Thm. 3.4 bound,Thm. 3.4,0
-0.1498109339495569,9.012110542276501e-4,0.87,0.4799564865586275,0.5,Thm. 3.4 bound,Thm. 3.4,0.5
-0.06198987780883858,9.090164595834801e-4,0.87,0.23539524584569677,0.9,Thm. 3.4 bound,Thm. 3.4,0.9
-0.0420748475385429,0.001144857968326444,0.87,0.1812427832213665,0.95,Thm. 3.4 bound,Thm. 3.4,0.95
-0.007511223455272455,0.0042407043811245335,0.87,0.08414790908786719,1,Thm. 3.4 bound,Thm. 3.4,1
-0.29666795400812873,0.001449171306940744,0.88,0.9928724428310806,-1,Thm. 3.4 bound,Thm. 3.4,-1
-0.25527246859274505,0.0012755027513360001,0.88,0.8628330817237224,-0.5,Thm. 3.4 bound,Thm. 3.4,-0.5
-0.20621611244014293,0.0010802207783242761,0.88,0.7088674175451077,0,Thm. 3.4 bound,Thm. 3.4,0
-0.1424376611568554,8.629192679238147e-4,0.88,0.5091117503112312,0.5,Thm. 3.4 bound,Thm. 3.4,0.5
-0.058418220359519255,8.497288710449919e-4,0.88,0.24843344041179827,0.9,Thm. 3.4 bound,Thm. 3.4,0.9
-0.039326729847649566,0.0010614666921303093,0.88,0.19059394304912658,0.95,Thm. 3.4 bound,Thm. 3.4,0.95
-0.007114642928205613,0.004136996383935314,0.88,0.08702077920395557,1,Thm. 3.4 bound,Thm. 3.4,1
-0.2817924527713065,0.0013820317541026943,0.89,1.0578721810024074,-1,Thm. 3.4 bound,Thm. 3.4,-1
